group,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.2,4.0,3.8,3.6,3.4,3.2,3.0,2.8,2.6,2.4,2.2,2.0 or below
Man,24,55,55,61,79,72,59,34,14,8,9,4,2,1,0,1,0,0,0,0,0
Woman,43,85,92,80,73,70,42,16,8,10,2,0,3,0,2,0,0,0,0,0,0
