label,value
African American,71
East Asian,249
Ethnically Jewish,51
Hispanic,83
Latinx,75
Middle Eastern,31
Native American,13
North African,2
Pacific Islander,9
South Asian,51
Southeast Asian,84
Sub-Saharan African,16
West Indian/Caribbean,32
White,561
Other,28
