label,value
"BBC",335
"Buzzfeed",214
"CNN",620
"Daily Mail",214
"Fox News",222
"NPR",272
"The Boston Globe",214
"The Chicago Tribune",48
"The Los Angeles Times",82
"The New York Times",809
"The Wall Street Journal",379
"The Washington Post",450
"Not applicable (I don't read the news)",96
"Other (please specify)",107
