group,"$500,000 or more","$250,000 to $499,999","$150,000 to $249,999","$100,000 to $149,999","$60,000 to $99,999","$35,000 to $59,999","$34,999 or less","Unsure"
Yes,146,123,100,73,46,29,26,197
No,82,43,30,21,10,5,12,73
