group,Yes,No
African American,40,31
East Asian,189,53
Ethnically Jewish,39,12
Hispanic,52,30
Latinx,40,33
Middle Eastern,21,10
Native American,6,7
South Asian,40,11
Southeast Asian,62,19
Sub-Saharan African,13,3
West Indian/Caribbean,18,13
White,410,141
